# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 8.920e-07 3.210e-06 1.605e-06 9.232e-07
      13 1.009e-06 1.180e-06 1.094e-06 4.077e-08
      16 1.105e-06 1.350e-06 1.224e-06 5.702e-08
      20 1.309e-06 1.611e-06 1.459e-06 7.057e-08
      25 1.557e-06 1.964e-06 1.757e-06 9.206e-08
      32 1.988e-06 2.484e-06 2.232e-06 1.152e-07
      40 2.575e-06 3.199e-06 2.888e-06 1.510e-07
      50 3.469e-06 4.192e-06 3.829e-06 1.646e-07
      63 4.959e-06 5.828e-06 5.372e-06 2.030e-07
      79 7.133e-06 8.673e-06 7.806e-06 3.231e-07
     100 1.082e-05 1.268e-05 1.173e-05 4.376e-07
     126 1.603e-05 1.863e-05 1.737e-05 6.467e-07
     158 2.366e-05 2.711e-05 2.526e-05 8.282e-07
     200 3.501e-05 4.658e-05 3.844e-05 3.089e-06
     251 5.152e-05 5.771e-05 5.415e-05 1.320e-06
     316 7.652e-05 8.243e-05 7.933e-05 1.368e-06
     398 1.141e-04 1.214e-04 1.177e-04 1.662e-06
     501 1.719e-04 1.814e-04 1.765e-04 2.211e-06
     631 2.612e-04 2.731e-04 2.670e-04 2.830e-06
     794 3.992e-04 4.147e-04 4.067e-04 3.684e-06
    1000 6.169e-04 6.391e-04 6.268e-04 5.121e-06
    1259 9.592e-04 9.896e-04 9.740e-04 7.387e-06
    1585 1.511e-03 1.556e-03 1.532e-03 1.090e-05
    1995 2.413e-03 2.486e-03 2.448e-03 1.726e-05
    2512 3.935e-03 4.061e-03 3.997e-03 2.927e-05
    3162 6.631e-03 6.877e-03 6.753e-03 5.579e-05
    3981 1.160e-02 1.204e-02 1.182e-02 1.047e-04
    5012 2.068e-02 2.139e-02 2.104e-02 1.718e-04
    6310 3.663e-02 3.766e-02 3.714e-02 2.284e-04
    7943 6.371e-02 6.636e-02 6.455e-02 4.422e-04
#------- --------- --------- --------- ---------


# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.350e-07 7.540e-07 6.829e-07 2.630e-08
      13 7.130e-07 8.360e-07 7.731e-07 2.955e-08
      16 8.020e-07 9.600e-07 8.784e-07 3.570e-08
      20 9.500e-07 1.154e-06 1.050e-06 4.837e-08
      25 1.177e-06 1.453e-06 1.314e-06 6.512e-08
      32 1.570e-06 1.958e-06 1.754e-06 9.011e-08
      40 2.076e-06 2.607e-06 2.354e-06 1.235e-07
      50 2.903e-06 3.572e-06 3.240e-06 1.594e-07
      63 4.200e-06 5.109e-06 4.667e-06 2.264e-07
      79 6.143e-06 7.329e-06 6.724e-06 2.933e-07
     100 9.191e-06 1.085e-05 9.996e-06 3.945e-07
     126 1.376e-05 1.605e-05 1.489e-05 5.389e-07
     158 2.041e-05 2.376e-05 2.211e-05 8.081e-07
     200 3.105e-05 3.573e-05 3.335e-05 1.126e-06
     251 4.701e-05 5.294e-05 4.991e-05 1.446e-06
     316 7.102e-05 7.830e-05 7.473e-05 1.758e-06
     398 1.076e-04 1.173e-04 1.123e-04 2.279e-06
     501 1.642e-04 1.774e-04 1.708e-04 3.138e-06
     631 2.516e-04 2.692e-04 2.605e-04 4.222e-06
     794 3.878e-04 4.121e-04 3.999e-04 5.778e-06
    1000 6.025e-04 6.365e-04 6.196e-04 8.060e-06
    1259 9.455e-04 9.921e-04 9.694e-04 1.163e-05
    1585 1.507e-03 1.577e-03 1.542e-03 1.662e-05
    1995 2.442e-03 2.563e-03 2.500e-03 2.814e-05
    2512 4.031e-03 4.215e-03 4.129e-03 4.368e-05
    3162 6.795e-03 7.078e-03 6.939e-03 6.861e-05
    3981 1.150e-02 1.195e-02 1.173e-02 1.065e-04
    5012 1.943e-02 2.011e-02 1.977e-02 1.658e-04
    6310 3.255e-02 3.358e-02 3.304e-02 2.393e-04
    7943 5.388e-02 5.538e-02 5.465e-02 3.505e-04
   10000 8.859e-02 9.081e-02 8.967e-02 5.252e-04
#------- --------- --------- --------- ---------


# insertion_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.980e-07 6.430e-07 6.190e-07 1.052e-08
      13 6.360e-07 6.830e-07 6.578e-07 1.106e-08
      16 6.740e-07 7.320e-07 7.000e-07 1.398e-08
      20 7.260e-07 7.890e-07 7.534e-07 1.430e-08
      25 7.970e-07 8.830e-07 8.341e-07 1.979e-08
      32 9.130e-07 1.014e-06 9.559e-07 2.420e-08
      40 1.051e-06 1.210e-06 1.115e-06 3.426e-08
      50 1.261e-06 1.441e-06 1.340e-06 4.193e-08
      63 1.566e-06 1.811e-06 1.679e-06 5.459e-08
      79 2.010e-06 2.325e-06 2.161e-06 7.251e-08
     100 2.741e-06 3.185e-06 2.939e-06 1.043e-07
     126 3.771e-06 4.340e-06 4.051e-06 1.366e-07
     158 5.323e-06 6.109e-06 5.701e-06 1.910e-07
     200 7.743e-06 8.830e-06 8.250e-06 2.493e-07
     251 1.144e-05 1.287e-05 1.212e-05 3.344e-07
     316 1.716e-05 1.913e-05 1.813e-05 4.764e-07
     398 2.610e-05 2.887e-05 2.742e-05 6.648e-07
     501 4.003e-05 4.405e-05 4.205e-05 9.287e-07
     631 6.210e-05 6.764e-05 6.489e-05 1.325e-06
     794 9.669e-05 1.045e-04 1.006e-04 1.803e-06
    1000 1.513e-04 1.624e-04 1.568e-04 2.558e-06
    1259 2.378e-04 2.533e-04 2.453e-04 3.604e-06
    1585 3.754e-04 3.952e-04 3.849e-04 4.808e-06
    1995 5.892e-04 6.197e-04 6.045e-04 7.320e-06
    2512 9.304e-04 9.720e-04 9.524e-04 1.006e-05
    3162 1.473e-03 1.529e-03 1.501e-03 1.381e-05
    3981 2.327e-03 2.420e-03 2.373e-03 2.140e-05
    5012 3.690e-03 3.977e-03 3.763e-03 4.575e-05
    6310 5.869e-03 7.446e-03 6.167e-03 3.430e-04
    7943 9.288e-03 1.128e-02 9.679e-03 4.606e-04
   10000 1.467e-02 1.501e-02 1.484e-02 8.180e-05
   12589 2.324e-02 2.374e-02 2.349e-02 1.162e-04
   15849 3.684e-02 3.753e-02 3.718e-02 1.625e-04
   19953 5.844e-02 5.967e-02 5.897e-02 2.573e-04
   25119 9.265e-02 9.417e-02 9.334e-02 3.436e-04
#------- --------- --------- --------- ---------


# Shell_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.280e-07 7.970e-07 6.666e-07 2.603e-08
      13 6.880e-07 7.830e-07 7.326e-07 2.155e-08
      16 7.580e-07 8.560e-07 8.072e-07 2.400e-08
      20 8.570e-07 9.750e-07 9.141e-07 2.804e-08
      25 9.840e-07 1.125e-06 1.054e-06 3.400e-08
      32 1.165e-06 1.340e-06 1.250e-06 4.049e-08
      40 1.384e-06 1.605e-06 1.480e-06 4.855e-08
      50 1.717e-06 1.954e-06 1.838e-06 5.755e-08
      63 2.144e-06 2.415e-06 2.284e-06 6.391e-08
      79 2.706e-06 3.112e-06 2.878e-06 8.866e-08
     100 3.497e-06 3.997e-06 3.684e-06 1.026e-07
     126 4.496e-06 4.935e-06 4.704e-06 1.005e-07
     158 5.921e-06 6.631e-06 6.186e-06 1.438e-07
     200 7.723e-06 8.306e-06 8.006e-06 1.352e-07
     251 9.951e-06 1.062e-05 1.028e-05 1.528e-07
     316 1.304e-05 1.381e-05 1.340e-05 1.821e-07
     398 1.715e-05 1.802e-05 1.756e-05 2.113e-07
     501 2.256e-05 2.361e-05 2.307e-05 2.440e-07
     631 2.957e-05 3.082e-05 3.015e-05 2.888e-07
     794 3.857e-05 4.016e-05 3.927e-05 3.591e-07
    1000 5.032e-05 5.209e-05 5.116e-05 4.036e-07
    1259 6.618e-05 6.854e-05 6.721e-05 5.256e-07
    1585 8.679e-05 8.954e-05 8.802e-05 6.278e-07
    1995 1.132e-04 1.168e-04 1.148e-04 7.887e-07
    2512 1.477e-04 1.521e-04 1.495e-04 9.785e-07
    3162 1.921e-04 1.969e-04 1.941e-04 1.101e-06
    3981 2.514e-04 2.579e-04 2.541e-04 1.451e-06
    5012 3.283e-04 3.361e-04 3.317e-04 1.724e-06
    6310 4.261e-04 4.356e-04 4.303e-04 2.203e-06
    7943 5.540e-04 5.660e-04 5.594e-04 2.713e-06
   10000 7.198e-04 7.342e-04 7.263e-04 3.353e-06
   12589 9.393e-04 9.583e-04 9.478e-04 4.351e-06
   15849 1.223e-03 1.247e-03 1.234e-03 5.921e-06
   19953 1.583e-03 1.616e-03 1.598e-03 7.668e-06
   25119 2.057e-03 2.105e-03 2.077e-03 1.076e-05
   31623 2.669e-03 2.728e-03 2.694e-03 1.332e-05
   39811 3.466e-03 3.545e-03 3.500e-03 1.878e-05
   50119 4.505e-03 4.608e-03 4.549e-03 2.459e-05
   63096 5.835e-03 5.979e-03 5.896e-03 3.377e-05
   79433 7.565e-03 7.763e-03 7.643e-03 4.622e-05
  100000 9.808e-03 1.009e-02 9.924e-03 6.413e-05
  125893 1.274e-02 1.309e-02 1.289e-02 8.620e-05
  158489 1.650e-02 1.701e-02 1.671e-02 1.171e-04
  199526 2.136e-02 2.205e-02 2.165e-02 1.619e-04
  251189 2.767e-02 2.938e-02 2.818e-02 3.460e-04
  316228 3.594e-02 3.794e-02 3.658e-02 4.443e-04
  398107 4.655e-02 4.811e-02 4.724e-02 3.878e-04
  501187 6.022e-02 6.235e-02 6.117e-02 4.984e-04
#------- --------- --------- --------- ---------


# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.030e-07 6.440e-07 6.217e-07 9.672e-09
      13 6.380e-07 6.880e-07 6.616e-07 1.155e-08
      16 6.750e-07 7.290e-07 6.998e-07 1.323e-08
      20 7.770e-07 8.660e-07 8.210e-07 2.122e-08
      25 8.670e-07 9.850e-07 9.204e-07 2.834e-08
      32 1.008e-06 1.171e-06 1.084e-06 3.901e-08
      40 1.213e-06 1.558e-06 1.306e-06 6.188e-08
      50 1.453e-06 1.670e-06 1.556e-06 4.992e-08
      63 1.806e-06 2.063e-06 1.934e-06 6.032e-08
      79 2.294e-06 3.164e-06 2.608e-06 2.498e-07
     100 2.934e-06 3.346e-06 3.113e-06 8.828e-08
     126 3.785e-06 4.213e-06 3.994e-06 9.947e-08
     158 4.918e-06 6.377e-06 5.282e-06 3.525e-07
     200 6.370e-06 6.965e-06 6.658e-06 1.386e-07
     251 8.270e-06 9.021e-06 8.624e-06 1.724e-07
     316 1.079e-05 1.347e-05 1.131e-05 4.151e-07
     398 1.411e-05 1.655e-05 1.464e-05 3.064e-07
     501 1.844e-05 1.979e-05 1.906e-05 2.957e-07
     631 2.408e-05 2.581e-05 2.486e-05 3.762e-07
     794 3.145e-05 3.366e-05 3.243e-05 4.657e-07
    1000 4.109e-05 4.344e-05 4.228e-05 5.528e-07
    1259 5.352e-05 5.681e-05 5.511e-05 7.091e-07
    1585 6.983e-05 7.402e-05 7.177e-05 8.840e-07
    1995 9.095e-05 9.564e-05 9.332e-05 1.075e-06
    2512 1.186e-04 1.248e-04 1.215e-04 1.346e-06
    3162 1.545e-04 1.613e-04 1.578e-04 1.591e-06
    3981 2.003e-04 2.091e-04 2.048e-04 2.042e-06
    5012 2.601e-04 2.711e-04 2.657e-04 2.570e-06
    6310 3.379e-04 3.507e-04 3.446e-04 3.086e-06
