# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 9.270e-07 3.825e-06 1.584e-06 1.042e-06
      13 1.018e-06 1.232e-06 1.118e-06 4.806e-08
      16 1.171e-06 1.408e-06 1.286e-06 5.670e-08
      20 1.429e-06 1.748e-06 1.584e-06 7.694e-08
      25 1.724e-06 2.169e-06 1.943e-06 1.067e-07
      32 2.211e-06 2.748e-06 2.473e-06 1.311e-07
      40 2.808e-06 3.487e-06 3.142e-06 1.673e-07
      50 3.550e-06 4.445e-06 3.986e-06 2.186e-07
      63 4.999e-06 5.901e-06 5.434e-06 2.117e-07
      79 7.171e-06 8.410e-06 7.798e-06 2.930e-07
     100 1.086e-05 1.266e-05 1.173e-05 4.523e-07
     126 1.614e-05 1.866e-05 1.739e-05 6.066e-07
     158 2.350e-05 2.701e-05 2.531e-05 8.468e-07
     200 3.492e-05 3.951e-05 3.710e-05 1.023e-06
     251 5.130e-05 5.647e-05 5.384e-05 1.238e-06
     316 7.645e-05 8.230e-05 7.937e-05 1.375e-06
     398 1.142e-04 1.212e-04 1.178e-04 1.679e-06
     501 1.719e-04 1.811e-04 1.765e-04 2.161e-06
     631 2.613e-04 2.730e-04 2.671e-04 2.775e-06
     794 3.990e-04 4.152e-04 4.068e-04 3.878e-06
    1000 6.165e-04 6.380e-04 6.267e-04 5.151e-06
    1259 9.586e-04 9.897e-04 9.738e-04 7.273e-06
    1585 1.509e-03 1.556e-03 1.532e-03 1.095e-05
    1995 2.412e-03 2.488e-03 2.448e-03 1.791e-05
    2512 3.938e-03 4.070e-03 3.999e-03 2.930e-05
    3162 6.630e-03 6.880e-03 6.752e-03 5.717e-05
    3981 1.161e-02 1.205e-02 1.182e-02 1.070e-04
    5012 2.067e-02 2.139e-02 2.104e-02 1.720e-04
    6310 3.664e-02 3.764e-02 3.715e-02 2.360e-04
    7943 6.367e-02 6.511e-02 6.442e-02 3.455e-04
#------- --------- --------- --------- ---------


# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.340e-07 7.350e-07 6.813e-07 2.329e-08
      13 7.110e-07 8.290e-07 7.698e-07 2.743e-08
      16 8.080e-07 9.580e-07 8.803e-07 3.590e-08
      20 9.560e-07 1.154e-06 1.054e-06 4.868e-08
      25 1.171e-06 1.433e-06 1.306e-06 6.163e-08
      32 1.569e-06 1.941e-06 1.748e-06 8.986e-08
      40 2.080e-06 2.594e-06 2.342e-06 1.238e-07
      50 2.932e-06 3.606e-06 3.273e-06 1.613e-07
      63 4.185e-06 5.118e-06 4.663e-06 2.200e-07
      79 6.223e-06 7.470e-06 6.807e-06 2.941e-07
     100 9.157e-06 1.083e-05 9.966e-06 4.030e-07
     126 1.378e-05 1.613e-05 1.488e-05 5.465e-07
     158 2.048e-05 2.376e-05 2.212e-05 7.884e-07
     200 3.101e-05 3.577e-05 3.334e-05 1.142e-06
     251 4.686e-05 5.279e-05 4.981e-05 1.393e-06
     316 7.094e-05 7.863e-05 7.476e-05 1.843e-06
     398 1.078e-04 1.173e-04 1.125e-04 2.297e-06
     501 1.638e-04 1.772e-04 1.707e-04 3.204e-06
     631 2.519e-04 2.695e-04 2.606e-04 4.298e-06
     794 3.879e-04 4.122e-04 3.999e-04 5.815e-06
    1000 6.033e-04 6.362e-04 6.193e-04 8.061e-06
    1259 9.444e-04 9.922e-04 9.686e-04 1.152e-05
    1585 1.506e-03 1.578e-03 1.542e-03 1.697e-05
    1995 2.441e-03 2.554e-03 2.498e-03 2.696e-05
    2512 4.040e-03 4.220e-03 4.130e-03 4.253e-05
    3162 6.800e-03 7.084e-03 6.939e-03 6.845e-05
    3981 1.150e-02 1.195e-02 1.173e-02 1.070e-04
    5012 1.941e-02 2.012e-02 1.977e-02 1.730e-04
    6310 3.254e-02 3.355e-02 3.303e-02 2.416e-04
    7943 5.388e-02 5.533e-02 5.462e-02 3.468e-04
   10000 8.857e-02 9.079e-02 8.967e-02 5.305e-04
#------- --------- --------- --------- ---------


# insertion_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.960e-07 6.650e-07 6.185e-07 1.167e-08
      13 6.290e-07 6.800e-07 6.518e-07 1.142e-08
      16 6.720e-07 7.260e-07 6.959e-07 1.339e-08
      20 7.230e-07 7.870e-07 7.507e-07 1.498e-08
      25 7.970e-07 8.800e-07 8.324e-07 1.957e-08
      32 9.060e-07 1.012e-06 9.516e-07 2.485e-08
      40 1.064e-06 1.579e-06 1.275e-06 1.607e-07
      50 1.265e-06 1.881e-06 1.393e-06 1.443e-07
      63 1.568e-06 1.813e-06 1.681e-06 5.514e-08
      79 2.015e-06 2.368e-06 2.164e-06 7.724e-08
     100 2.724e-06 3.218e-06 2.937e-06 1.105e-07
     126 3.786e-06 6.429e-06 4.353e-06 7.107e-07
     158 5.317e-06 6.119e-06 5.694e-06 1.906e-07
     200 7.772e-06 8.821e-06 8.280e-06 2.448e-07
     251 1.146e-05 1.932e-05 1.234e-05 1.027e-06
     316 1.717e-05 1.990e-05 1.819e-05 5.405e-07
     398 2.611e-05 2.932e-05 2.746e-05 7.048e-07
     501 4.014e-05 4.453e-05 4.209e-05 9.736e-07
     631 6.218e-05 6.809e-05 6.494e-05 1.377e-06
     794 9.670e-05 1.050e-04 1.007e-04 1.881e-06
    1000 1.513e-04 1.630e-04 1.569e-04 2.648e-06
    1259 2.380e-04 2.546e-04 2.454e-04 3.758e-06
